"Year","Date","Primary.Type","Location.Description","DISTRICT","Latitude","Longitude","Location","near_bar","near_bar_name","bar_lat","bar_lng","DISTRICT.NAME","distance_range","time","time_cate"
2023,"09/18/2023 08:30:00 PM","CRIMINAL DAMAGE","STREET","5",41.657644704,-87.597664742,"(41.657644704, -87.597664742)",1276.38319342131,"PAUL STROMBECK",41.651314225,-87.610453477,"Calumet","1000~1500",2024-04-22 20:30:00,"nighttime"
2023,"09/18/2023 12:28:00 PM","BATTERY","STREET","1",41.867892081,-87.625834479,"(41.867892081, -87.625834479)",12.5675619354009,"SAM'S WINES & SPIRITS",41.86786709,-87.625686841,"Central","0~20",2024-04-22 12:28:00,"daytime"
2023,"09/18/2023 06:44:00 PM","BATTERY","STREET","5",41.709791093,-87.627182549,"(41.709791093, -87.627182549)",1056.10545202404,"MIKE'S LOUNGE",41.70755755,-87.614848221,"Calumet","1000~1500",2024-04-22 18:44:00,"nighttime"
2023,"07/29/2023 10:30:00 PM","BATTERY","STREET","1",41.871799513,-87.632936347,"(41.871799513, -87.632936347)",210.173296997012,"ALL STAR SEAFOOD & SPORTS",41.872780614,-87.630771512,"Central","200~300",2024-04-22 22:30:00,"nighttime"
2023,"09/25/2023 12:30:00 AM","CRIMINAL DAMAGE","STREET","4",41.756195017,-87.580975062,"(41.756195017, -87.580975062)",597.966976143776,"CLUB ESCAPE",41.758864314,-87.587219247,"South Chicago","500~1000",2024-04-22 00:30:00,"nighttime"
2023,"09/19/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","3",41.766642981,-87.568159016,"(41.766642981, -87.568159016)",326.786069982447,"EXCHANGE TAP",41.76484807,-87.565045139,"Grand Crossing","300~400",2024-04-22 18:00:00,"daytime"
2023,"09/19/2023 07:02:00 PM","ROBBERY","SIDEWALK","1",41.878400171,-87.636668458,"(41.878400171, -87.636668458)",168.546341393575,"AROUND THE CORNER",41.877489075,-87.635044708,"Central","100~200",2024-04-22 19:02:00,"nighttime"
2023,"09/19/2023 11:00:00 PM","CRIMINAL DAMAGE","STREET","4",41.756147908,-87.583423837,"(41.756147908, -87.583423837)",436.644289301342,"CLUB ESCAPE",41.758864314,-87.587219247,"South Chicago","400~500",2024-04-22 23:00:00,"nighttime"
2023,"09/19/2023 09:50:00 AM","BATTERY","SIDEWALK","3",41.763248688,-87.612785424,"(41.763248688, -87.612785424)",265.984123764228,"PAT'S GOAL POST",41.765643457,-87.612781348,"Grand Crossing","200~300",2024-04-22 09:50:00,"daytime"
2023,"09/19/2023 06:10:00 AM","ROBBERY","ALLEY","2",41.810927176,-87.604405202,"(41.810927176, -87.604405202)",328.347841418437,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","300~400",2024-04-22 06:10:00,"daytime"
